Средняя,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,год
1932,-10.4,-15.6,-7.5,5.3,10.4,16.9,17.8,17.8,9.9,4.5,-6.4,-12.6,2.5
1933,-18.4,-17.9,-9.2,3.7,9.3,15.4,20.6,14.4,9.0,2.6,-7.5,-18.0,0.3
1934,-10.9,-9.2,-9.0,1.1,13.1,14.2,17.2,17.9,6.8,4.1,-3.2,-12.9,2.4
1935,-13.5,-7.5,-5.8,5.6,10.6,17.2,16.8,16.7,9.9,2.9,-8.5,-12.8,2.6
1936,-13.5,-11.2,-8.1,2.1,7.9,17.7,19.1,16.6,9.9,3.0,-3.4,-7.6,2.7
1937,-13.8,-11.2,-8.6,2.5,7.6,16.4,18.0,14.9,10.5,3.7,-6.0,-17.4,1.4
1938,,,,,,,,,,,,,
1939,-14.9,-10.6,-5.4,3.4,9.4,18.1,19.1,13.0,6.5,0.2,-4.6,-9.6,2.1
1940,-22.5,-14.5,-6.7,4.7,5.6,15.7,19.1,17.7,12.2,-2.2,-4.1,-14.7,0.9
1941,-16.5,-15.1,-7.2,-0.9,6.8,14.2,16.2,15.2,9.1,0.1,-11.5,-16.9,-0.5
1942,-20.0,-11.1,-11.3,1.5,10.0,16.7,18.2,15.0,7.7,1.6,-5.6,-11.3,1.0
1943,-19.9,-11.0,-6.7,6.0,14.9,14.1,18.3,15.9,8.3,1.1,-6.9,-9.3,2.1
1944,-9.6,-11.8,-2.2,3.8,11.4,16.6,15.8,14.5,11.3,2.9,-10.2,-12.9,2.5
1945,-17.0,-15.1,-8.5,1.7,6.6,15.6,15.5,17.3,9.7,0.9,-8.5,-19.9,-0.1
1946,-12.4,-9.3,-7.4,1.9,10.2,14.9,17.3,15.5,8.5,-1.4,-5.9,-14.1,1.5
1947,-17.5,-14.0,-5.5,5.4,7.5,13.3,15.5,15.1,10.1,3.8,-2.2,-14.2,1.4
1948,-10.9,-12.4,-8.7,1.7,14.8,19.1,15.7,14.9,9.5,3.6,-4.3,-15.1,2.3
1949,-7.7,-13.3,-8.6,1.7,11.6,17.9,16.7,17.3,6.7,1.7,-6.7,-15.1,1.9
1950,-22.5,-11.8,-5.1,6.5,9.9,14.3,16.2,14.0,10.3,2.9,-10.0,-8.3,1.4
1951,-14.4,-18.6,-3.4,9.6,9.4,16.4,19.7,17.6,10.7,0.6,-8.1,-6.9,2.7
1952,-11.7,-12.4,-8.8,-0.7,12.3,17.3,20.9,15.8,12.7,-0.3,-11.0,-11.9,1.9
1953,-13.7,-17.3,-6.3,6.6,10.8,15.5,19.6,19.4,9.4,0.1,-13.9,-10.3,1.7
1954,-18.4,-20.0,-7.0,3.4,10.2,16.5,20.3,14.6,11.7,4.5,-5.6,-12.7,1.5
1955,-9.4,-14.0,-8.7,3.2,12.8,17.9,16.3,14.0,8.7,5.2,-6.6,-22.1,1.4
1956,-17.0,-20.1,-7.4,2.6,11.4,16.6,15.6,15.0,5.1,2.6,-8.9,-9.6,0.5
1957,-14.7,-9.8,-11.7,1.5,15.4,18.2,17.7,16.2,15.3,1.4,,,
1958,,,,,,,,,,,,,
1959,,,,,,,,,,,,,
1960,,,,,,,,,,,,,
1961,,,,,,,,,,,,,
1962,,,,,,,,,,,,,
1963,,,,,,,,,,,,,
1964,,,,,,,,,,,,,
1965,,,,,,,,,,,,-8.6,
1966,-15.4,-17.9,-5.0,5.5,10.8,14.3,19.7,15.9,10.7,-0.3,-4.4,-21.8,1.0
